Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
02901C1 01	22418981	35000000	35000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
02901C1 01	18123416	35000000	35000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
00794B1 01	15433145	14000000	14000000	EUR	24.0	B	03/03/2023	27/02/2023	31/12/2023	-
02901C1 01	1148151	160000000	160000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
02126C1 01	11497289	51000000	51000000	USD	40.0	C	03/03/2023	27/02/2023	31/12/2023	-
02901C1 01	13863839	100000000	100000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
02901C1 01	14014673	35000000	35000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
02901C1 01	14156382	45000000	45000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
03583C1 02	11045114	500000	500000	EUR	39.0	C	13/03/2023	07/03/2023	31/12/2023	-
03583C1 02	1705487	651282	651282	EUR	39.0	C	13/03/2023	07/03/2023	31/12/2023	-
35507C1 01	19723797	135640816	135640816	MUR	24.5	C	13/03/2023	07/03/2023	28/02/2024	-
04252C1 71	32844117	10000000	10000000	PLN	16.8	C	13/03/2023	07/03/2023	31/03/2025	-
03583C1 02	9969545	1000000	1000000	EUR	39.0	C	13/03/2023	07/03/2023	31/12/2023	-
08992C1 03	16500497	2499999	2499999	EUR	28.0	C	27/03/2023	24/03/2023	30/09/2023	-
08992C1 01	16985298	2499999	2499999	EUR	28.0	C	31/03/2023	24/03/2023	31/07/2023	-
36122B1 01	16719279	753700000	753700000	MXN	4.0	B	31/03/2023	27/03/2023	31/03/2024	-
07359B1 04	16719279	1999999999	1999999999	MXN	7.0	B	31/03/2023	27/03/2023	31/03/2024	-
36180B1 02	21388468	13726530	13726530	EUR	24.5	B	31/03/2023	27/03/2023	31/12/2023	-
09850C1 01	22247563	18050000000	18050000000	JPY	9.07	C	31/03/2023	27/03/2023	31/03/2024	-
09850C1 01	53669128	2580000000	2580000000	JPY	9.07	C	31/03/2023	27/03/2023	31/03/2024	-
36024B1 01	84047141	30000000	30000000	PLN	30.75	B	31/03/2023	27/03/2023	12/08/2024	-
03079C1 72	20764216	120000000	120000000	PLN	9.0	C	31/03/2023	27/03/2023	31/12/2023	-
05401C1 02	21122421	140000000	140000000	EUR	2.66	C	31/03/2023	27/03/2023	31/12/2023	-
04252C1 71	22701557	34249471	34249471	PLN	4.73	C	31/03/2023	27/03/2023	21/06/2025	-
02126C1 01	2669641	80000000	80000000	USD	40.0	C	31/03/2023	27/03/2023	31/03/2024	-
36180C1 01	3982648	32002510	32002510	PLN	15.93	C	31/03/2023	27/03/2023	31/12/2023	-
04252C1 71	3982648	32005856	32005856	PLN	6.83	C	31/03/2023	27/03/2023	31/12/2023	-
36172B1 01	16479016	237000000	237000000	USD	4.0	B	31/03/2023	27/03/2023	31/12/2023	-
36180B1 02	12752209	2726530	2726530	EUR	24.5	B	14/04/2023	05/04/2023	31/12/2023	-
02126C1 01	382037	90000000	90000000	USD	40.0	C	14/04/2023	05/04/2023	31/03/2024	-
03583C1 02	16586534	600000	600000	EUR	39.0	C	14/04/2023	05/04/2023	31/01/2024	-
35507C1 01	2135067	179681632	179681632	MUR	24.5	C	14/04/2023	05/04/2023	31/03/2024	-
09780B1 01	21585099	1335000	1335000	EUR	60.0	B	14/04/2023	05/04/2023	31/10/2023	-
01166B1 01	9824057	100000000	100000000	USD	10.0	B	14/04/2023	05/04/2023	31/12/2023	-
02901C1 01	15091292	150000000	150000000	MAD	20.0	C	14/04/2023	11/04/2023	31/12/2023	-
35507C1 01	6907902	88914285	88914285	MUR	24.5	C	20/04/2023	17/04/2023	31/03/2024	-
35507C1 01	39453055	179930612	179930612	MUR	24.5	C	20/04/2023	17/04/2023	30/09/2023	-
36031C1 01	24223775	1000000	1000000	USD	45.0	C	20/04/2023	17/04/2023	31/07/2023	-
36196C1 01	9749810	4000000	4000000	EUR	4.5	C	20/04/2023	17/04/2023	31/12/2023	-
35507C1 01	11289380	400000000	400000000	MUR	27.13	C	20/04/2023	17/04/2023	31/03/2024	-
35507C1 01	16065413	410000000	410000000	MUR	35.0	C	20/04/2023	17/04/2023	31/03/2024	-
03079C1 72	13962152	170000000	170000000	PLN	3.6	C	20/04/2023	17/04/2023	31/12/2023	-
09841B1 01	14219366	30000000	30000000	PLN	17.5	B	21/04/2023	17/04/2023	31/12/2023	-
36180B1 02	12847106	17224489	17224489	EUR	24.5	B	21/04/2023	17/04/2023	30/04/2025	-
09850B1 01	18201333	9300000000	9300000000	JPY	3.57	B	21/04/2023	17/04/2023	31/03/2024	-
08992C1 04	22285209	2999999	2999999	EUR	28.0	C	21/04/2023	17/04/2023	31/03/2024	-
02901C1 01	23306223	202894000	202894000	MAD	50.0	C	21/04/2023	17/04/2023	30/06/2024	-
08992C1 04	72251461	3199999	3199999	EUR	28.0	C	21/04/2023	17/04/2023	30/03/2024	-
02065C1 01	14834580	311247863	311247863	DZD	17.55	C	28/04/2023	24/04/2023	31/12/2023	-
08992C1 04	16889522	2499999	2499999	EUR	28.0	C	28/04/2023	24/04/2023	30/04/2024	-
02901C1 01	16913211	60750000	60750000	MAD	20.0	C	28/04/2023	24/04/2023	31/12/2024	-
02901C1 01	21173023	151880000	151880000	MAD	20.0	C	28/04/2023	24/04/2023	30/04/2024	-
02901C1 01	22093522	131630000	131630000	MAD	20.0	C	28/04/2023	24/04/2023	30/04/2024	-
02901C1 01	3845178	151890000	151890000	MAD	20.0	C	28/04/2023	24/04/2023	30/04/2024	-
02901C1 01	727009	101255000	101255000	MAD	20.0	C	28/04/2023	24/04/2023	30/04/2024	-
02901C1 01	92128127	151880000	151880000	MAD	20.0	C	28/04/2023	24/04/2023	30/04/2024	-
36122B1 01	21334982	4401500000	4401500000	MXN	4.0	B	28/04/2023	24/04/2023	30/04/2024	-
36180C1 01	51835096	70000000	70000000	PLN	15.93	C	28/04/2023	24/04/2023	31/12/2023	-
04252C1 71	51835096	70000000	70000000	PLN	6.83	C	28/04/2023	24/04/2023	31/12/2023	-
03079B1 73	83527129	110000000	110000000	PLN	3.6	B	28/04/2023	24/04/2023	31/03/2024	-
00794B1 01	22989961	358333	358333	EUR	24.0	B	28/04/2023	24/04/2023	30/04/2025	-
