BusID	Parent	Country
16338968	THE CENTRAL AMERICA BOTTLING	VGB
19412593	ARCA CONTINENTAL, S.A.B. DE C.V.	MEX
4160648	CATHAY PACIFIC AIRWAYS LIMITED	HKG
16617086	CORRIENTE RESOURCES INC	CAN
22481077	DUPAR PARTICIPACOES S/A	BRA
235656	CEMENTOS BIO BIO DEL SUR, S.A.	CHL
19228424	CM HOSPITALAR S/A	BRA
19237616	FACTOR HOLDING S.R.L.	ITA
10549346	CONTROLADORA MABE, S.A. DE C.V.	MEX
20331594	HUAWEI INVESTMENT & HOLDING CO LTD	CHN
4719605	CARNIVAL CORPORATION	PAN
20017026	QUIÑENCO S.A.	CHL
22971556	NAIRE XXI SL	ESP
15129779	FAVORITA FRUIT CO. LTD.	VGB
4717837	PEPSICO, INC.	USA
21722915	QUICORP S.A.	PER
15517017	VIRGIN AUSTRALIA HOLDINGS LIMITED	AUS
1831867	ECUAQUIMICA ECUATORIANA DE	ECU
21090776	AFBD PARTICIPACOES LTDA	BRA
9693225	RYANAIR HOLDINGS PUBLIC LIMITED	IRL
2139472	UNILEVER PLC	GBR
21446994	GRUPO GLORIA	PER
6946944	ALICORP, S.A.A.	PER
7128426	JOHNSON ELECTRIC HOLDINGS LIMITED	HKG
3370701	AKZO NOBEL N.V.	NLD
22459166	VALCEL EMPREENDIMENTOS E	BRA
85585462	PAPELMERSA S.A.	ECU
21551736	GOODFARMER FOODS HOLDING (GROUP)	CHN
24241169	MAMARITZ SL	ESP
65934747	APEX TOOL GROUP, LLC	USA
15659018	POLIHOLDING S.A.	ECU
23656919	CADELVERZO PARTICIPACOES S/A	BRA
2196397	DEUTSCHE LUFTHANSA	DEU
16398145	HAWAIIAN HOLDINGS, INC.	USA
23042943	ESTADO DA BAHIA	BRA
22176299	ABERCROMBIE & KENT GROUP OF	LUX
10617188	SAS AB	SWE
2376469	EMIRATES - EMIRATES AIRLINES	ARE
21811644	ON THE BEACH GROUP PLC	GBR
337604	AISIN CORPORATION	JPN
4259351	PANASONIC HOLDINGS CORPORATION	JPN
11672471	GOVERNMENT OF FIJI	FJI
4301018	QANTAS AIRWAYS LIMITED	AUS
2402297	CHINA SOUTHERN AIR HOLDING COMPANY	CHN
17765916	PAL HOLDINGS INC	PHL
4773288	ALASKA AIR GROUP, INC.	USA
23160588	CHINA EASTERN AIR HOLDING COMPANY	CHN
9860935	ROYAL BRUNEI ARMED FORCES	BRN
18323946	KUMUL CONSOLIDATED HOLDINGS	PNG
22947136	CAPITAL A BERHAD	MYS
17088735	ICELANDAIR GROUP HF	ISL
4079367	TAP TRANSPORTES AEREOS	PRT
16220222	COPA HOLDING S.A.	PAN
16569729	EMKE GROUP - SOLE PROPRIETORSHIP	ARE
22686584	ANGLO THERAPY BALKANS LIMITED	IRL
10239861	SOFARMA AD	BGR
12653757	NORTHWOOD PAPER LIMITED	GBR
14486269	HEINZEL HOLDING GMBH	AUT
1417087	EDP ENERGIAS DE PORTUGAL SA	PRT
21591193	POWER CONSTRUCTION CORPORATION OF	CHN
15605275	C. CZARNIKOW LIMITED	GBR
22972105	AMALGAMATED HOLDINGS WILKINSON	GBR
2153005	RELIANCE STEEL & ALUMINUM CO.	USA
14951388	YARA INTERNATIONAL ASA	NOR
7006796	KONINKLIJKE AHOLD DELHAIZE N.V.	NLD
4038761	LIDL STIFTUNG & CO. KG	DEU
4122470	BOUYGUES	FRA
10411126	CARTERS, INC.	USA
19286180	MONJASA HOLDING A/S	DNK
23632663	SHAPIR ENGINEERING AND INDUSTRY LTD	ISR
38265473	ERGO WESTERN BALKANS SOLUTIONS DOO	SRB
40685587	MODERN PAPER LIMITED	GBR
1679274	BRIDGESTONE CORP	JPN
