Balloon ID	Bus ID	Current Exposure	Currency	Last Updated	LOB
02143B1 01	23406820	344444	USD	22/06/2022	B
02143B1 01	13679115	322222	USD	22/06/2022	B
02143B1 01	17627419	322222	USD	22/06/2022	B
02143B1 01	20338469	322222	USD	22/06/2022	B
02143B1 01	22639301	322222	USD	22/06/2022	B
02143B1 01	22777448	322222	USD	22/06/2022	B
02143B1 01	23407160	322222	USD	22/06/2022	B
02143B1 01	17628079	311111	USD	22/06/2022	B
02143B1 01	20568193	311111	USD	22/06/2022	B
02143B1 01	9056913	288888	USD	22/06/2022	B
02143B1 01	17339079	288888	USD	22/06/2022	B
02143B1 01	21912934	300000	USD	22/06/2022	B
02143B1 01	23807292	300000	USD	22/06/2022	B
02143B1 01	2225202	277777	USD	22/06/2022	B
02143B1 01	14612748	277777	USD	22/06/2022	B
02143B1 01	16888398	277777	USD	22/06/2022	B
02143B1 01	52614833	277777	USD	22/06/2022	B
02143B1 01	16880334	266666	USD	22/06/2022	B
02143B1 01	52077491	266666	USD	22/06/2022	B
02143B1 01	13677730	255555	USD	22/06/2022	B
02143B1 01	15814686	255555	USD	22/06/2022	B
02143B1 01	19725074	255555	USD	22/06/2022	B
02143B1 01	20338561	255555	USD	22/06/2022	B
02143B1 01	21572227	255555	USD	22/06/2022	B
